,City,Time,Country,Latitude,Longitude,Temperature,Humidity,Cloud Coverage,Wind Speed
1,Chuy,1516137326,UY,-33.69,-53.46,76.5,74,0,13.22
2,Saskylakh,1516137528,RU,71.97,114.09,-58.69,0,0,3.04
3,Sao Joao da Barra,1516132800,BR,-21.64,-41.05,84.2,62,0,18.34
4,Narrabri,1516137529,AU,-30.33,149.78,61.47,59,0,7.96
5,Duku,1516137529,NG,11.24,4.91,74.79,28,0,10.76
6,Sundargarh,1516137530,IN,22.12,84.04,46.35,72,0,2.37
7,Lasa,1516136400,CY,34.92,32.53,55.4,87,40,5.82
8,Cabo San Lucas,1516131900,MX,22.89,-109.91,82.4,39,5,9.17
9,Mahanoro,1516137532,MG,-19.9,48.8,70.2,100,80,3.71
10,Palmas,1516132800,BR,-10.18,-48.33,91.4,49,20,2.24
11,Wanning,1516135800,AT,48.64,13.53,39.2,80,75,11.41
12,Cotoca,1516132800,BO,-17.75,-63.0,87.8,58,75,12.75
13,Palmer,1516136400,AU,-34.85,139.16,71.6,56,0,6.93
14,Qasigiannguit,1516135800,GL,68.82,-51.19,-0.41,77,75,21.92
15,Campbell River,1516136400,CA,50.02,-125.24,50.0,70,75,19.46
16,Gaoua,1516137535,BF,10.33,-3.18,71.46,35,0,6.51
17,Diplo,1516137535,PK,24.47,69.59,63.18,57,0,9.19
18,Novo Aripuana,1516137445,BR,-5.12,-60.38,80.46,86,36,2.93
19,Kushima,1516135740,JP,31.5,131.29,59.0,93,75,14.99
20,Kuala Kedah,1516132800,MY,6.11,100.29,77.0,94,75,2.24
21,Airai,1516137537,TL,-8.93,125.41,67.99,92,32,0.36
22,Marsh Harbour,1516137314,BS,26.54,-77.06,73.89,100,0,15.46
23,Moscow,1516135980,US,46.73,-117.0,42.8,86,1,8.05
24,Tiarei,1516136400,PF,-17.53,-149.33,87.8,62,20,19.46
25,Carutapera,1516137538,BR,-1.2,-46.02,82.48,74,32,12.66
26,Pedernales,1516137539,EC,0.07,-80.05,78.03,83,76,8.63
27,Lorengau,1516137539,PG,-2.02,147.27,83.16,100,32,4.05
28,Kovernino,1516137540,RU,57.13,43.81,16.38,93,76,6.06
29,Kruisfontein,1516137540,ZA,-34.0,24.73,67.86,85,0,13.56
30,Anzio,1516135800,IT,41.45,12.63,59.0,93,75,4.7
31,Tazovskiy,1516137541,RU,67.47,78.7,-32.54,57,0,10.2
32,Russell,1516132800,AR,-33.01,-68.8,77.0,47,75,4.7
33,Guiratinga,1516137262,BR,-16.35,-53.76,83.74,81,32,3.49
34,Abonnema,1516137543,NG,4.71,6.79,73.08,91,20,4.5
35,Sidhi,1516137543,IN,24.41,81.88,47.61,86,0,2.59
36,Atar,1516137544,MR,20.52,-13.05,50.13,48,0,4.61
37,Mahajanga,1516132800,MG,-15.72,46.32,78.8,88,40,6.93
38,Astana,1516134600,KZ,51.13,71.43,-2.21,84,90,15.66
39,Ahipara,1516137545,NZ,-35.17,173.16,69.93,89,92,24.85
40,Faanui,1516137546,PF,-16.48,-151.75,83.43,98,44,16.02
41,Tilichiki,1516137547,RU,60.47,166.1,-25.84,39,20,4.38
42,Kranea Elassonos,1516137548,GR,39.95,21.97,37.44,89,0,3.49
43,Saint-Pierre,1516136400,FR,48.95,4.24,41.0,93,92,21.92
44,Carnarvon,1516137549,ZA,-30.97,22.13,70.11,10,0,9.64
45,Awjilah,1516137550,LY,29.14,21.3,44.91,78,0,3.38
46,Taunggyi,1516137550,MM,20.78,97.03,47.16,87,56,2.37
47,Fare,1516137551,PF,-16.7,-151.02,81.58,100,76,13.78
48,Yatou,1516132800,CM,3.63,9.81,80.6,94,40,15.12
49,San Francisco,1516136280,US,37.78,-122.42,64.4,82,90,8.05
50,Tanabe,1516137557,JP,33.73,135.39,55.48,94,92,13.78
51,Sovetskiy,1516137558,RU,56.76,48.47,18.54,89,88,4.38
52,Logumkloster,1516136340,DK,55.06,8.96,35.6,94,75,11.41
53,Yumen,1516137559,CN,40.29,97.04,12.33,77,0,10.09
54,Bocaiuva,1516137559,BR,-17.12,-43.81,83.83,42,8,3.15
55,Katsuura,1516134780,JP,33.93,134.5,48.2,93,75,10.29
56,Vila Velha,1516136400,BR,-3.71,-38.6,82.4,74,20,16.11
57,Vestmannaeyjar,1516137560,IS,63.44,-20.27,31.68,100,0,24.74
58,Srednekolymsk,1516137561,RU,67.46,153.71,-30.34,50,68,5.17
59,Nisia Floresta,1516132800,BR,-6.09,-35.21,82.4,69,40,20.8
60,Rosarito,1516132800,CO,4.91,-75.23,80.6,65,75,8.05
61,Sao Filipe,1516137562,CV,14.9,-24.5,71.41,97,0,19.71
